index,flour,water,protein,fat,carbs,fiber
almonds,0.0,0.0,0.212,0.499,0.217,0.125
apple_butter,0.0,0.56,0.004,0.001,0.44,0.02
apple_juice,0.0,0.88,0.001,0.001,0.113,0.002
ap_flour,1.0,0.0,0.103,0.01,0.763,0.027
ascorbic_acid,0.0,0.0,0.0,0.0,1.0,0.0
ascorbic_acid_1p,0.0,1.0,0.0,0.0,0.0,0.0
baking_powder,0.0,0.0,0.0,0.0,0.44,0.0
baking_soda,0.0,0.0,0.0,0.0,0.0,0.0
banana,0.0,0.0,0.011,0.003,0.228,0.026
barley,1.0,0.0,0.125,0.023,0.735,0.173
barley_sr,0.0,-1.38,0.125,0.023,0.735,0.173
barley_sb,0.0,-1.56,0.125,0.023,0.735,0.173
bobs_mthc,0.0,-1.0,0.12,0.03,0.7,0.1
bobs_10_grain,1.0,0.0,0.125,0.025,0.75,0.125
bran,1.0,0.0,0.156,0.043,0.645,0.428
bran_sr,1.0,-0.96,0.156,0.043,0.645,0.428
bran_sb,1.0,-1.68,0.156,0.043,0.645,0.428
bran_wet,1.0,-1.68,0.156,0.043,0.645,0.428
bran_dry,1.0,0.0,0.156,0.043,0.645,0.428
bread_flour,1.0,0.0,0.127,0.015,0.71,0.024
bronze_chief,1.0,0.0,0.13,0.025,0.72,0.11
brown_sugar,0.0,0.0,0.0,0.0,0.98,0.0
buckwheat,1.0,0.0,0.133,0.034,0.715,0.1
buckwheat_sr,0.0,-0.88,0.133,0.034,0.715,0.1
buckwheat_sb,0.0,-0.91,0.133,0.034,0.715,0.1
bulgur,0.0,-1.5,0.123,0.013,0.759,0.183
butter,0.0,0.16,0.009,0.811,0.001,0.0
buttermilk,0.0,0.9,0.033,0.009,0.048,0.0
caraway_seeds,0.0,0.0,0.198,0.146,0.499,0.38
carrots,0.0,0.0,0.009,0.002,0.096,0.028
chia_seeds,1.0,0.0,0.165,0.307,0.421,0.344
chia_seeds_sr,0.0,-2.37,0.165,0.307,0.421,0.344
chia_seeds_sb,0.0,-2.76,0.165,0.307,0.421,0.344
chickpea_flour,0.0,-1.0,0.224,0.067,0.578,0.108
cider_vinegar,0.0,1.0,0.0,0.0,0.009,0.0
cinnamon,0.0,0.0,0.04,0.012,0.806,0.531
coconut,0.0,0.0,0.033,0.335,0.152,0.09
coriander,0.0,0.0,0.124,0.178,0.55,0.419
corn_meal,1.0,0.0,0.081,0.036,0.769,0.073
corn_meal_sr,0.0,-0.58,0.081,0.036,0.769,0.073
corn_meal_sb,0.0,-1.73,0.081,0.036,0.769,0.073
cracked_rye,1.0,0.0,0.1,0.015,0.76,0.15
cracked_rye_sr,0.0,-0.68,0.1,0.015,0.76,0.15
cracked_rye_sb,0.0,-1.54,0.1,0.015,0.76,0.15
cracked_wheat,1.0,0.0,0.132,0.025,0.72,0.107
cracked_wheat_sr,1.0,-1.73,0.132,0.025,0.72,0.107
cracked_wheat_sb,1.0,-2.25,0.132,0.025,0.72,0.107
craisins,0.0,0.0,0.001,0.007,0.828,0.053
diastatic_malt,0.0,0.0,0.05,0.0,0.75,0.0
dried_apple,0.0,-1.0,0.0,0.0,0.0,0.0
dried_orange_peel,0.0,-1.0,0.0,0.0,0.0,0.0
egg,0.0,0.76,0.126,0.095,0.007,0.0
egg_white,0.0,0.88,0.109,0.002,0.007,0.0
egg_whites,0.0,0.88,0.126,0.095,0.007,0.0
egg_yolk,0.0,0.52,0.159,0.265,0.036,0.0
egg_yolks,0.0,0.52,0.126,0.095,0.007,0.0
eggs,0.0,0.76,0.126,0.095,0.007,0.0
evap_milk,0.0,0.74,0.068,0.076,0.1,0.0
flas,0.0,1.0,0.0,0.0,0.0,0.0
flaxseed_meal,1.0,0.0,0.183,0.422,0.289,0.273
flaxseed_meal_sr,0.0,-1.3,0.183,0.422,0.289,0.273
flaxseed_meal_sb,0.0,-1.36,0.183,0.422,0.289,0.273
flour,1.0,0.0,0.11,0.012,0.74,0.03
ginger_powder,0.0,0.0,0.09,0.042,0.716,0.141
grape_nuts,0.0,-1.0,0.124,0.015,0.801,0.11
